"Date","WPSFD49205"
2010-01-01,100.2
2010-02-01,100
2010-03-01,99.8
2010-04-01,100.1
2010-05-01,100.4
2010-06-01,100.5
2010-07-01,100.6
2010-08-01,100.7
2010-09-01,101
2010-10-01,101.2
2010-11-01,101.4
2010-12-01,101.6
2011-01-01,102.1
2011-02-01,102.3
2011-03-01,103.1
2011-04-01,103.6
2011-05-01,104
2011-06-01,104
2011-07-01,104.2
2011-08-01,104.3
2011-09-01,104.7
2011-10-01,104.4
2011-11-01,104.7
2011-12-01,104.6
2012-01-01,105
2012-02-01,105.3
2012-03-01,105.5
2012-04-01,105.8
2012-05-01,105.8
2012-06-01,105.6
2012-07-01,105.5
2012-08-01,105.6
2012-09-01,106.2
2012-10-01,106.3
2012-11-01,106.5
2012-12-01,106.6
2013-01-01,106.7
2013-02-01,107
2013-03-01,107
2013-04-01,106.9
2013-05-01,106.8
2013-06-01,107.3
2013-07-01,107.5
2013-08-01,107.6
2013-09-01,107.7
2013-10-01,107.9
2013-11-01,108.1
2013-12-01,108.1
2014-01-01,108.4
2014-02-01,108.6
2014-03-01,109
2014-04-01,109
2014-05-01,109.2
2014-06-01,109.2
2014-07-01,109.6
2014-08-01,109.7
2014-09-01,109.3
2014-10-01,109.6
2014-11-01,109.5
2014-12-01,109.3
2015-01-01,108.7
2015-02-01,108.5
2015-03-01,108.7
2015-04-01,108.6
2015-05-01,109
2015-06-01,109.3
2015-07-01,109.6
2015-08-01,109.4
2015-09-01,109
2015-10-01,108.8
2015-11-01,109
2015-12-01,109
2016-01-01,109.4
2016-02-01,109.1
2016-03-01,109.1
2016-04-01,109.4
2016-05-01,109.5
2016-06-01,110
2016-07-01,110
2016-08-01,109.9
2016-09-01,110.2
2016-10-01,110.5
2016-11-01,110.7
2016-12-01,111
2017-01-01,111.5
2017-02-01,111.3
2017-03-01,111.4
2017-04-01,111.8
2017-05-01,111.9
2017-06-01,112
2017-07-01,112.1
2017-08-01,112.5
2017-09-01,112.9
2017-10-01,113.3
2017-11-01,113.7
2017-12-01,113.7
2018-01-01,114.2
2018-02-01,114.5
2018-03-01,114.6
2018-04-01,114.8
2018-05-01,115.2
2018-06-01,115.7
2018-07-01,115.8
2018-08-01,115.9
2018-09-01,116.1
2018-10-01,116.9
2018-11-01,116.7
2018-12-01,116.6
2019-01-01,116.4
2019-02-01,116.6
2019-03-01,117
2019-04-01,117.7
2019-05-01,117.8
2019-06-01,117.8
2019-07-01,118
2019-08-01,118.3
2019-09-01,118
2019-10-01,118.4
2019-11-01,118.1
2019-12-01,118.5
2020-01-01,118.8
2020-02-01,118.3
2020-03-01,117.7
2020-04-01,116.5
2020-05-01,116.9
2020-06-01,117.5
2020-07-01,118.2
2020-08-01,118.4
2020-09-01,118.6
2020-10-01,119.1
2020-11-01,119.1
2020-12-01,119.5
2021-01-01,120.7
2021-02-01,121.3
2021-03-01,121.9
2021-04-01,123.1
2021-05-01,123.8
2021-06-01,124.8
2021-07-01,126.069
2021-08-01,127.129
2021-09-01,127.655
2021-10-01,128.365
2021-11-01,129.7
2021-12-01,130.69
2022-01-01,132.014
2022-02-01,133.067
2022-03-01,134.901
2022-04-01,135.259
2022-05-01,136.206
2022-06-01,137.662
2022-07-01,137.232
2022-08-01,137.458
2022-09-01,137.741
2022-10-01,138.261
2022-11-01,138.482
2022-12-01,138.36
2023-01-01,138.979
2023-02-01,139.191
2023-03-01,138.598
2023-04-01,139.057
2023-05-01,138.721
2023-06-01,138.996
2023-07-01,139.734
2023-08-01,140.763
2023-09-01,141.306
2023-10-01,140.554
2023-11-01,140.508
