"Date","WPSFD49202"
2010-12-01,100.2
2011-01-01,100.5
2011-02-01,100.7
2011-03-01,101.2
2011-04-01,101.5
2011-05-01,101.7
2011-06-01,101.9
2011-07-01,102.1
2011-08-01,102.5
2011-09-01,102.6
2011-10-01,102.4
2011-11-01,102.7
2011-12-01,102.7
2012-01-01,103.1
2012-02-01,103.4
2012-03-01,103.5
2012-04-01,103.9
2012-05-01,104.1
2012-06-01,104.1
2012-07-01,104
2012-08-01,103.8
2012-09-01,104.2
2012-10-01,104.3
2012-11-01,104.8
2012-12-01,104.9
2013-01-01,105
2013-02-01,105
2013-03-01,105.3
2013-04-01,105.4
2013-05-01,105.2
2013-06-01,105.6
2013-07-01,106
2013-08-01,105.9
2013-09-01,106.1
2013-10-01,106.3
2013-11-01,106.5
2013-12-01,106.4
2014-01-01,106.6
2014-02-01,106.8
2014-03-01,107.2
2014-04-01,107.1
2014-05-01,107.5
2014-06-01,107.5
2014-07-01,108
2014-08-01,108.1
2014-09-01,107.9
2014-10-01,108.4
2014-11-01,108.4
2014-12-01,108.7
2015-01-01,108.8
2015-02-01,108.4
2015-03-01,108.5
2015-04-01,108.6
2015-05-01,108.6
2015-06-01,108.9
2015-07-01,109.2
2015-08-01,109.2
2015-09-01,109.3
2015-10-01,109.1
2015-11-01,109.3
2015-12-01,109.4
2016-01-01,110.1
2016-02-01,110.1
2016-03-01,109.9
2016-04-01,110.1
2016-05-01,110.1
2016-06-01,110.5
2016-07-01,110.4
2016-08-01,110.4
2016-09-01,110.7
2016-10-01,110.8
2016-11-01,111
2016-12-01,111.1
2017-01-01,111.5
2017-02-01,111.2
2017-03-01,111.5
2017-04-01,111.9
2017-05-01,112.2
2017-06-01,112.3
2017-07-01,112.4
2017-08-01,112.7
2017-09-01,112.8
2017-10-01,113.2
2017-11-01,113.5
2017-12-01,113.4
2018-01-01,113.9
2018-02-01,114.1
2018-03-01,114.4
2018-04-01,114.5
2018-05-01,114.8
2018-06-01,115.2
2018-07-01,115.4
2018-08-01,115.5
2018-09-01,115.6
2018-10-01,116.3
2018-11-01,116.6
2018-12-01,116.8
2019-01-01,116.8
2019-02-01,116.9
2019-03-01,117.1
2019-04-01,117.6
2019-05-01,117.8
2019-06-01,118
2019-07-01,118.1
2019-08-01,118.5
2019-09-01,118.2
2019-10-01,118.5
2019-11-01,118.3
2019-12-01,118.5
2020-01-01,118.9
2020-02-01,118.5
2020-03-01,118.8
2020-04-01,118.5
2020-05-01,118.6
2020-06-01,118.7
2020-07-01,119.3
2020-08-01,119.4
2020-09-01,119.6
2020-10-01,120.1
2020-11-01,120.1
2020-12-01,120.1
2021-01-01,121.1
2021-02-01,121.4
2021-03-01,121.8
2021-04-01,123
2021-05-01,123.9
2021-06-01,124.6
2021-07-01,125.795
2021-08-01,126.719
2021-09-01,126.996
2021-10-01,127.428
2021-11-01,128.695
2021-12-01,129.69
2022-01-01,130.922
2022-02-01,131.584
2022-03-01,133.136
2022-04-01,133.493
2022-05-01,134.101
2022-06-01,134.68
2022-07-01,135.263
2022-08-01,135.949
2022-09-01,136.191
2022-10-01,136.574
2022-11-01,137.074
2022-12-01,137.428
2023-01-01,137.592
2023-02-01,137.813
2023-03-01,137.841
2023-04-01,138.112
2023-05-01,138.388
2023-06-01,138.575
2023-07-01,139.284
2023-08-01,139.584
2023-09-01,139.875
2023-10-01,139.84
2023-11-01,139.91
